time,left ear,left forehead,right forehead,right ear
0,-13.443,-1.1961,4.9684,-11.04
0.0045192,-5.2178,-1.1961,4.9684,-2.8151
0.0090384,-5.2178,-4.4861,4.9684,2.1198
0.013558,6.297,3.7388,3.3234,11.99
0.018077,9.587,-2.8411,3.3234,21.86
0.022596,3.0071,-6.1311,1.6785,13.635
0.027115,4.6521,-2.8411,0.033493,7.0548
0.031635,1.3621,-4.4861,-1.6115,-1.1701
0.036154,-1.9278,-1.1961,-3.2565,-6.1051
0.040673,-3.5728,3.7388,0.033493,-1.1701
0.045192,7.9421,8.6737,-3.2565,2.1198
0.049712,11.232,0.44883,1.6785,11.99
0.054231,9.587,2.0938,0.033493,8.6997
0.05875,16.167,3.7388,0.033493,10.345
0.063269,19.457,5.3838,1.6785,15.28
0.067789,17.812,7.0288,1.6785,16.925
0.072308,16.167,5.3838,1.6785,11.99
0.076827,3.0071,-2.8411,0.033493,7.0548
0.081346,4.6521,-1.1961,0.033493,2.1198
0.085865,-0.28286,-4.4861,1.6785,0.47489
0.090385,-5.2178,-4.4861,3.3234,0.47489
0.094904,-1.9278,2.0938,6.6134,-1.1701
0.099423,3.0071,3.7388,4.9684,2.1198
0.10394,-0.28286,-1.1961,6.6134,2.1198
0.10846,-3.5728,-2.8411,4.9684,-7.75
0.11298,-0.28286,-4.4861,4.9684,0.47489
0.1175,4.6521,0.44883,4.9684,2.1198
0.12202,6.297,3.7388,1.6785,2.1198
0.12654,14.522,7.0288,1.6785,7.0548
0.13106,9.587,-1.1961,1.6785,11.99
0.13558,3.0071,2.0938,3.3234,10.345
0.1401,6.297,5.3838,6.6134,11.99
0.14462,7.9421,5.3838,4.9684,10.345
0.14914,14.522,5.3838,4.9684,7.0548
0.15365,11.232,3.7388,0.033493,2.1198
0.15817,3.0071,2.0938,0.033493,-1.1701
0.16269,7.9421,2.0938,1.6785,2.1198
0.16721,11.232,2.0938,0.033493,5.4098
0.17173,9.587,2.0938,3.3234,13.635
0.17625,-1.9278,-2.8411,3.3234,7.0548
0.18077,-6.8628,0.44883,1.6785,-2.8151
0.18529,9.587,8.6737,1.6785,5.4098
0.18981,16.167,7.0288,0.033493,8.6997
0.19433,12.877,2.0938,-1.6115,5.4098
0.19885,1.3621,-2.8411,-1.6115,-2.8151
0.20337,-0.28286,-1.1961,-3.2565,-6.1051
0.20789,-3.5728,0.44883,-3.2565,-6.1051
0.2124,7.9421,5.3838,-1.6115,-1.1701
0.21692,9.587,2.0938,1.6785,0.47489
0.22144,1.3621,0.44883,0.033493,-2.8151
0.22596,-6.8628,2.0938,0.033493,-9.395
0.23048,-1.9278,5.3838,-3.2565,0.47489
0.235,1.3621,2.0938,-6.5465,0.47489
0.23952,4.6521,-2.8411,-1.6115,7.0548
0.24404,3.0071,-4.4861,0.033493,8.6997
0.24856,11.232,0.44883,0.033493,2.1198
0.25308,12.877,-1.1961,0.033493,5.4098
0.2576,11.232,0.44883,1.6785,0.47489
0.26212,19.457,-1.1961,3.3234,11.99
0.26664,16.167,-7.7761,4.9684,11.99
0.27115,12.877,-1.1961,4.9684,10.345
0.27567,14.522,-1.1961,0.033493,10.345
0.28019,11.232,-2.8411,1.6785,10.345
0.28471,14.522,3.7388,-1.6115,7.0548
0.28923,16.167,0.44883,0.033493,11.99
0.29375,-0.28286,-2.8411,0.033493,7.0548
0.29827,-0.28286,0.44883,-3.2565,-6.1051
0.30279,-6.8628,-2.8411,-1.6115,2.1198
0.30731,-15.088,-6.1311,-3.2565,-2.8151
0.31183,-16.733,-6.1311,-4.9015,-9.395
0.31635,-6.8628,-4.4861,-1.6115,-4.46
0.32087,-8.5078,-7.7761,0.033493,-11.04
0.32539,-13.443,-1.1961,0.033493,-27.49
0.3299,-10.153,-1.1961,3.3234,-15.975
0.33442,-13.443,0.44883,0.033493,-19.265
0.33894,-10.153,2.0938,-1.6115,-15.975
0.34346,-5.2178,2.0938,-1.6115,3.7648
0.34798,-0.28286,0.44883,0.033493,15.28
0.3525,4.6521,0.44883,-1.6115,15.28
0.35702,12.877,3.7388,-1.6115,18.57
0.36154,21.102,5.3838,-3.2565,20.215
0.36606,17.812,3.7388,-3.2565,21.86
0.37058,12.877,5.3838,-1.6115,18.57
0.3751,1.3621,0.44883,0.033493,3.7648
0.37962,-1.9278,2.0938,-1.6115,-7.75
0.38414,11.232,10.319,-1.6115,8.6997
0.38865,12.877,3.7388,0.033493,23.505
0.39317,6.297,2.0938,0.033493,20.215
0.39769,9.587,3.7388,1.6785,13.635
0.40221,19.457,3.7388,1.6785,11.99
0.40673,24.392,5.3838,3.3234,18.57
0.41125,22.747,0.44883,3.3234,20.215
0.41577,19.457,0.44883,3.3234,13.635
0.42029,11.232,-1.1961,1.6785,3.7648
0.42481,14.522,3.7388,1.6785,0.47489
0.42933,21.102,3.7388,6.6134,18.57
0.43385,14.522,-2.8411,8.2583,20.215
0.43837,11.232,0.44883,3.3234,11.99
0.44289,21.102,3.7388,-1.6115,8.6997
0.44741,19.457,0.44883,-1.6115,10.345
0.45192,19.457,2.0938,1.6785,15.28
0.45644,9.587,-1.1961,1.6785,18.57
0.46096,-3.5728,-4.4861,3.3234,8.6997
0.46548,-0.28286,0.44883,0.033493,0.47489
0.47,-0.28286,0.44883,-1.6115,-2.8151
0.47452,-6.8628,2.0938,0.033493,0.47489
0.47904,3.0071,2.0938,0.033493,7.0548
0.48356,3.0071,-2.8411,-3.2565,8.6997
0.48808,12.877,0.44883,-1.6115,5.4098
0.4926,4.6521,-9.421,0.033493,10.345
0.49712,-5.2178,-4.4861,-1.6115,10.345
0.50164,3.0071,5.3838,-1.6115,5.4098
0.50616,4.6521,7.0288,-3.2565,0.47489
0.51067,19.457,7.0288,-3.2565,7.0548
0.51519,17.812,2.0938,-3.2565,3.7648
0.51971,7.9421,-1.1961,-1.6115,10.345
0.52423,6.297,0.44883,0.033493,15.28
0.52875,12.877,0.44883,1.6785,7.0548
0.53327,14.522,-4.4861,3.3234,5.4098
0.53779,6.297,-4.4861,3.3234,7.0548
0.54231,-11.798,-4.4861,0.033493,-2.8151
0.54683,-11.798,2.0938,-1.6115,-6.1051
0.55135,-8.5078,-4.4861,3.3234,-1.1701
0.55587,-16.733,-4.4861,1.6785,-12.685
0.56039,-13.443,-4.4861,3.3234,-9.395
0.56491,-11.798,-4.4861,6.6134,2.1198
0.56942,-10.153,-2.8411,4.9684,5.4098
0.57394,-6.8628,-2.8411,3.3234,2.1198
0.57846,6.297,7.0288,0.033493,0.47489
0.58298,11.232,7.0288,1.6785,3.7648
0.5875,17.812,10.319,1.6785,3.7648
0.59202,12.877,2.0938,6.6134,8.6997
0.59654,-0.28286,-1.1961,4.9684,5.4098
0.60106,-0.28286,0.44883,1.6785,3.7648
0.60558,-1.9278,-1.1961,3.3234,3.7648
0.6101,-8.5078,2.0938,-3.2565,-7.75
0.61462,1.3621,3.7388,-3.2565,-2.8151
0.61914,11.232,5.3838,-1.6115,2.1198
0.62366,21.102,3.7388,0.033493,11.99
0.62817,22.747,-1.1961,3.3234,15.28
0.63269,19.457,-1.1961,1.6785,2.1198
0.63721,11.232,-1.1961,0.033493,-7.75
0.64173,1.3621,0.44883,0.033493,-12.685
0.64625,-6.8628,-1.1961,1.6785,-7.75
0.65077,-13.443,0.44883,0.033493,-9.395
0.65529,-11.798,3.7388,-1.6115,-7.75
0.65981,-3.5728,7.0288,-1.6115,-2.8151
0.66433,-3.5728,3.7388,0.033493,0.47489
0.66885,-6.8628,-2.8411,0.033493,5.4098
0.67337,-8.5078,-2.8411,3.3234,7.0548
0.67789,-3.5728,2.0938,3.3234,0.47489
0.68241,1.3621,0.44883,3.3234,5.4098
0.68692,-1.9278,-1.1961,3.3234,2.1198
0.69144,4.6521,5.3838,0.033493,0.47489
0.69596,3.0071,-2.8411,1.6785,5.4098
0.70048,9.587,0.44883,1.6785,2.1198
0.705,7.9421,-2.8411,3.3234,5.4098
0.70952,-3.5728,-9.421,3.3234,5.4098
0.71404,-1.9278,-2.8411,0.033493,3.7648
0.71856,-8.5078,-4.4861,3.3234,2.1198
0.72308,-6.8628,0.44883,1.6785,-7.75
0.7276,3.0071,3.7388,1.6785,-12.685
0.73212,1.3621,-1.1961,1.6785,-14.33
0.73664,-0.28286,2.0938,1.6785,-14.33
0.74116,1.3621,3.7388,3.3234,-9.395
0.74568,-0.28286,0.44883,1.6785,-6.1051
0.75019,4.6521,3.7388,0.033493,-6.1051
0.75471,-0.28286,-2.8411,-1.6115,-2.8151
0.75923,-10.153,-6.1311,1.6785,-9.395
0.76375,-8.5078,-1.1961,0.033493,-12.685
0.76827,-1.9278,0.44883,-1.6115,-12.685
0.77279,3.0071,-1.1961,0.033493,-1.1701
0.77731,-0.28286,0.44883,3.3234,3.7648
0.78183,-0.28286,2.0938,4.9684,5.4098
0.78635,-15.088,-4.4861,4.9684,0.47489
0.79087,-20.023,-2.8411,6.6134,-7.75
0.79539,-15.088,-1.1961,3.3234,-9.395
0.79991,-0.28286,2.0938,8.2583,-2.8151
0.80443,11.232,-2.8411,9.9034,7.0548
0.80894,4.6521,-6.1311,9.9034,11.99
0.81346,-3.5728,-9.421,13.193,13.635
0.81798,-1.9278,-4.4861,11.548,7.0548
0.8225,-6.8628,-6.1311,13.193,3.7648
0.82702,-3.5728,-2.8411,9.9034,-1.1701
0.83154,1.3621,-6.1311,6.6134,5.4098
0.83606,-5.2178,-6.1311,6.6134,5.4098
0.84058,3.0071,3.7388,6.6134,0.47489
0.8451,4.6521,-4.4861,9.9034,5.4098
0.84962,-0.28286,-6.1311,9.9034,2.1198
0.85414,-6.8628,-6.1311,9.9034,-2.8151
0.85866,-0.28286,-2.8411,8.2583,-4.46
0.86318,1.3621,-4.4861,4.9684,-9.395
0.86769,-1.9278,-7.7761,3.3234,-9.395
0.87221,-11.798,-7.7761,1.6785,-14.33
0.87673,-11.798,-6.1311,1.6785,-11.04
0.88125,-6.8628,0.44883,3.3234,-7.75
0.88577,-0.28286,-1.1961,1.6785,-7.75
0.89029,3.0071,-2.8411,0.033493,-6.1051
0.89481,-5.2178,-6.1311,3.3234,-12.685
0.89933,-0.28286,-1.1961,0.033493,-12.685
0.90385,1.3621,-1.1961,0.033493,-4.46
0.90837,-13.443,-4.4861,-1.6115,-7.75
0.91289,-6.8628,3.7388,-4.9015,-6.1051
0.91741,6.297,0.44883,-3.2565,-2.8151
